date,ind,rain,station
01-Jul-84,0,0,Kilkenny
02-Jul-84,0,0,Kilkenny
03-Jul-84,0,0,Kilkenny
04-Jul-84,0,0,Kilkenny
05-Jul-84,0,0,Kilkenny
06-Jul-84,0,0,Kilkenny
07-Jul-84,0,1.7,Kilkenny
08-Jul-84,0,3.1,Kilkenny
09-Jul-84,0,4,Kilkenny
10-Jul-84,0,5.9,Kilkenny
11-Jul-84,0,1,Kilkenny
12-Jul-84,4,0,Kilkenny
13-Jul-84,0,1.3,Kilkenny
14-Jul-84,0,0,Kilkenny
15-Jul-84,0,0,Kilkenny
16-Jul-84,0,0,Kilkenny
17-Jul-84,4,0,Kilkenny
18-Jul-84,0,0,Kilkenny
19-Jul-84,0,0,Kilkenny
20-Jul-84,0,0,Kilkenny
21-Jul-84,0,0,Kilkenny
22-Jul-84,0,0,Kilkenny
23-Jul-84,0,0,Kilkenny
24-Jul-84,0,0,Kilkenny
25-Jul-84,4,0,Kilkenny
26-Jul-84,0,0,Kilkenny
27-Jul-84,0,0,Kilkenny
28-Jul-84,0,0,Kilkenny
29-Jul-84,4,0,Kilkenny
30-Jul-84,0,2.4,Kilkenny
31-Jul-84,0,0,Kilkenny
01-Aug-84,0,20.1,Kilkenny
02-Aug-84,0,1.5,Kilkenny
03-Aug-84,0,3.4,Kilkenny
04-Aug-84,4,0,Kilkenny
05-Aug-84,0,2.1,Kilkenny
06-Aug-84,0,0,Kilkenny
07-Aug-84,4,0,Kilkenny
08-Aug-84,0,0.2,Kilkenny
09-Aug-84,4,0,Kilkenny
10-Aug-84,0,0,Kilkenny
11-Aug-84,0,4.2,Kilkenny
12-Aug-84,0,0.1,Kilkenny
13-Aug-84,0,0,Kilkenny
14-Aug-84,0,0,Kilkenny
15-Aug-84,0,0,Kilkenny
16-Aug-84,4,0,Kilkenny
17-Aug-84,4,0,Kilkenny
18-Aug-84,0,0,Kilkenny
19-Aug-84,0,0,Kilkenny
20-Aug-84,4,0,Kilkenny
21-Aug-84,0,1.6,Kilkenny
22-Aug-84,4,0,Kilkenny
23-Aug-84,0,1.5,Kilkenny
24-Aug-84,0,0.7,Kilkenny
25-Aug-84,0,0.7,Kilkenny
26-Aug-84,4,0,Kilkenny
27-Aug-84,0,0.8,Kilkenny
28-Aug-84,0,0,Kilkenny
29-Aug-84,0,0,Kilkenny
30-Aug-84,0,4.6,Kilkenny
31-Aug-84,0,0.9,Kilkenny
01-Sep-84,4,0,Kilkenny
02-Sep-84,4,0,Kilkenny
03-Sep-84,0,2.9,Kilkenny
04-Sep-84,0,0,Kilkenny
05-Sep-84,4,0,Kilkenny
06-Sep-84,0,0,Kilkenny
07-Sep-84,0,0.4,Kilkenny
08-Sep-84,0,1,Kilkenny
09-Sep-84,0,1.3,Kilkenny
10-Sep-84,0,0.7,Kilkenny
11-Sep-84,4,0,Kilkenny
12-Sep-84,0,0.3,Kilkenny
13-Sep-84,0,3.6,Kilkenny
14-Sep-84,4,0,Kilkenny
15-Sep-84,0,2.8,Kilkenny
16-Sep-84,0,2.5,Kilkenny
17-Sep-84,0,1.6,Kilkenny
18-Sep-84,0,0,Kilkenny
19-Sep-84,0,3.6,Kilkenny
20-Sep-84,0,5.4,Kilkenny
21-Sep-84,0,0.9,Kilkenny
